"","ID","Sex","Max.BF","TempBF","HL","HW","HH","Horn.L","Horn.W","Crest.H","Dewlap.H","SVL","TotL","Tail","Mass"
"1",1,"f",6.4,27.6,16.78,10.81,9.98,5.25,2.68,4.41,9.48,5.9,16.8,10.9,6.3
"2",2,"f",8,24.9,22.61,12.97,14.82,7.08,3.78,4.25,13.19,8,21.1,13.1,13.7
"3",3,"f",6.8,27.5,18.64,11,9.74,6.48,4.33,6.29,10.98,6.9,17.7,10.8,7.5
"6",6,"f",6.95,29.7,17.31,11.99,10.96,6.96,4.31,7.3,11.91,6.4,17.9,11.5,8.6
"7",7,"m",6.55,20.7,19.24,11.72,11.24,8.66,4.21,4.08,11.58,6.8,20.2,13.4,7.5
"8",8,"f",6.05,29.7,18.78,10.12,10.34,6.25,3.1,5.21,6.64,6.7,17.8,11.1,8.8
"9",9,"f",6.65,29.6,19.01,11.01,9.83,5.29,3.32,3.4,10.51,6.8,18.5,11.7,8.1
"10",10,"m",8,20.8,21.93,12.19,11.7,12.6,5.36,5.37,12.35,7.6,21.5,13.9,10.8
"12",12,"m",4.7,22.6,16.58,10.1,9.37,6.91,3.67,4.73,7.76,6.3,17.7,11.4,5.6
"13",13,"f",8.15,29.5,18.38,9.96,9.92,4.68,3.16,6.44,8.82,6.9,16.9,10,8.3
"14",14,"m",10.8,21.7,19.82,11.99,10.79,8.54,3.8,3.98,12.04,6.5,18.5,12,8.5
"15",15,"m",5.15,25.7,18.1,9.96,9.73,7.08,4.55,4.65,9.35,6.1,16.4,10.3,5.4
"16",16,"m",3.25,23.8,16.91,9.6,10.37,8.65,4.48,4.42,11.78,5.8,16.5,10.7,5.2
"17",17,"f",4.15,26.1,17.18,8.92,9.75,5.39,3.84,4.47,8.2,5.6,15.5,9.9,3.9
"18",18,"m",11.4,23.1,20.9,11.93,11.03,11.45,5.49,5.83,12.37,7,19.8,12.8,8.8
"19",19,"m",5.45,23.3,18.33,9.56,9.79,7.56,3.85,3.15,10.92,6.2,16.4,10.2,6.1
"20",20,"m",8,23.5,20.36,11.98,13.59,8.25,4.4,4.28,11.47,6.9,20.1,13.2,7.6
"21",21,"f",4,24.1,17.2,10.06,7.78,6.76,4.49,4.55,7.61,5.6,15.2,9.6,4.1
"22",22,"m",4.55,23.2,17.41,8.83,6.98,5.06,3.02,4.81,8.46,5.7,16.8,11.1,5.2
"23",23,"f",3.55,25.4,15.15,8.95,8.62,6.84,3.11,3.83,9.79,5.2,13.7,8.5,3.4
"24",24,"f",4.2,24.3,17.41,9.05,8.51,5.66,3.29,3.3,9.84,5.7,15.2,9.5,4.9
"25",25,"m",10.18,23.8,21.83,12.28,12.15,10.18,5.5,5.74,14.3,7.6,21.2,13.6,9.8
"26",26,"m",9.05,23.6,22.7,12.64,11.93,10.48,5.41,4.82,13.46,7.5,20.1,12.6,10.5
"27",27,"m",3.2,23.9,15.17,9.89,10.2,5.86,2.59,3.83,9.95,5.4,15.3,9.9,4.3
"28",28,"f",5.95,23.9,18.55,10.79,9.35,7.98,3.08,3.01,12.3,6.4,17.3,10.9,7
"29",29,"m",7.75,23.4,20.2,11.28,10.76,8.23,3.26,4.48,11.47,7.4,20.8,13.4,9.2
"30",30,"f",8.3,23.5,20.72,11.69,11.53,6.59,3.2,2.61,12.42,7.6,19.2,11.6,11
"31",31,"m",7.5,23.6,19.64,10.7,10.99,7.79,4.13,2.23,5.96,6.4,17.5,11.1,6.5
"32",32,"f",8.45,23.2,19.75,11.74,11.02,9.01,4.67,3.38,11.63,7.1,19,11.9,11
"33",33,"m",7.5,23.1,21.27,12.31,11.86,9.1,3.7,5.24,15.41,6.4,18.6,12.2,9.6
"34",34,"m",2.9,22.4,15.91,8.74,7.85,5.45,3.33,3.56,9.27,5.4,15.5,10.1,3.8
"35",36,"f",6.25,22.8,20.19,11.49,10.78,7.37,3.81,5.56,9.44,7.2,19.2,12,9.3
"36",37,"m",8.95,22.6,19.79,12.84,10.39,9.64,4.55,4.59,12.92,6.6,19.8,13.2,8.4
"37",38,"m",9.7,22.8,21.76,12.73,11.56,8.38,5.4,5.16,12.78,7.8,21.3,13.5,10.7
"38",39,"f",8.8,22.1,20.79,12.21,11.79,8.55,4.3,3.58,14.09,7.3,20.5,13.2,10.2
"39",40,"m",7.3,21.5,19.47,11.5,10.04,9.35,4.22,4.2,9.69,6.4,19.8,13.4,8.4
"40",41,"m",6,22.3,18.04,10.94,11.41,8.25,3.08,3.79,10.43,6.6,19.3,12.7,5.9
"41",42,"f",8.05,22.4,21.55,11.82,11.58,6.6,3.14,6.68,11.39,7.1,18.8,11.7,11.6
"42",43,"m",7.25,22,19.94,11.85,11.39,8.96,3.96,4.73,12.84,6.6,19.1,12.5,8.4
"43",44,"f",8.2,22.7,19.16,11.54,11.58,5.97,2.9,4.47,10.72,6.8,18.8,12,10.8
"44",45,"f",8.75,22.4,23.41,13.1,13.06,7.28,3.82,5.98,11.13,8.1,22.2,14.1,14.4
"45",46,"m",9.25,22.4,20.3,10.89,10.56,8.01,3.87,4.49,13.26,7.1,18.9,11.8,8.7
"46",47,"f",7.45,24.2,17.28,10.6,9.35,4.87,2.81,4.97,12.08,6.4,16.5,10.1,8.2
"47",48,"m",12.55,22.7,23.25,13.59,11.6,10.99,4.74,5.51,15.44,7.6,22.2,14.6,10.6
"48",49,"f",6.95,22.4,21.3,13.12,11.58,7.01,3.59,3.38,14.81,7.4,20.4,13,10.9
"49",50,"m",10.55,22.3,23.28,12.98,11.53,9.42,3.78,6.3,17.39,7.6,21.6,14,10.9
"50",51,"f",3.2,24.5,15.65,11.49,9.33,5.37,2.73,3.69,8.62,5.7,15.2,9.5,4.5
"51",52,"f",9.05,22.1,19.8,12.03,13.11,6.81,3.32,5.38,16.81,7,18.8,11.8,12.6
"52",53,"f",8,22.1,17.12,9.93,9.46,14.24,1.47,2.24,10.47,6.7,18.2,11.5,9.1
"53",54,"f",5.2,22,19.49,10.75,10.4,7.04,3.6,4.6,13.77,6.2,17.6,11.4,5.6
"54",55,"m",4,21.4,15.53,7.65,8.54,5.37,3.08,2.57,11.28,5,14,9,3.3
"55",56,"m",3.5,21.9,15.27,7.76,7.37,3.8,1.19,1.5,8.9,5.2,14,8.8,4.2
"56",57,"m",8.4,22.4,20.6,12.5,10.83,7.93,4.37,4.84,13.96,7.4,20.2,12.8,9
"57",58,"f",10.3,22.4,20.87,10.97,10.03,4.99,3.64,2.75,11.07,7.4,20.1,12.7,13.5
"58",59,"f",7.55,22.4,18.06,11.45,9.73,5.06,2.31,3.91,11.49,6.6,17.8,11.2,8.2
"59",60,"m",11.05,21.5,21.37,12.35,11.05,9.52,4.7,5.01,12.6,7.3,20.7,13.4,10
"60",61,"m",6.8,20.9,20.12,10.99,10.73,8.81,4.53,3.77,17.09,6.6,18.3,11.7,7
"61",62,"m",9.75,21,19.77,11.27,11.34,8.64,3.9,4.01,12.2,6.7,19.4,12.7,7.3
"62",63,"f",6.75,21.7,19.07,11.58,11.41,6.39,3.44,3.91,9.77,6.1,17,10.9,7.6
"63",64,"f",5.3,22.2,18.27,10.66,11.24,6.12,3.57,4.25,11.87,5.8,15.8,10,6.1
